isbn,bookname,author,publisher,image,price,category
1,박태웅의 AI 강의 2026 - 인공지능 진화의 가속화부터 AI 기본사회와 일자리의 미래까지 멈추지 않고 인간 세계를 압도하는 새로운 지능의 모든 것,박태웅 (지은이),한빛비즈,https://image.aladin.co.kr/product/38808/31/cover200/k552137982_1.jpg,20700,인공지능/빅데이터
2,"이게 되네? 제미나이 완전 미친 활용법 81제 - 나노바나나, 노트북LM, 오팔, Veo, Flow까지, 진짜 실무에서 쓰는 Gemini 최강 활용법! 할 일, 조직 관리, 협업, AI 메모, AI 회의, 챗봇, AI 자동화 앱, 이미지 생성, 영상 제작까지 일잘러 오대리의 인공지능 퍼펙트 활용 노하우",오힘찬 (지은이),골든래빗(주),https://image.aladin.co.kr/product/38534/88/cover200/k372135236_1.jpg,21600,초보자를 위한 컴퓨터 책
3,"하루 30분, 나는 제미나이로 돈을 번다 - 제미나이·Make·캔바·Opal: 아이디어가 돈이 되는 가장 완벽한 AI 워크플로",김민규 (지은이),한빛미디어,https://image.aladin.co.kr/product/38801/98/cover200/k332137784_1.jpg,17100,인공지능
4,옵시디언 프로페셔널 노트 - 플러그인과 AI로 확장하는 지식 관리 워크플로,구요한 (지은이),리코멘드,https://image.aladin.co.kr/product/38799/2/cover200/k342137789_1.jpg,22500,초보자를 위한 컴퓨터 책
5,혼자 공부하는 바이브 코딩 with 클로드 코드 - AI와 1:1 대화하며 배우는 첫 코딩 자습서 | 명령어 모음 별책 부록·저자 직강 유튜브·15개 프로젝트 파일 제공·Q&A 채널 운영,조태호 (지은이),한빛미디어,https://image.aladin.co.kr/product/37926/0/cover200/k902033034_1.jpg,27000,인공지능
6,"오픈클로 with GPT, 제미나이, 클로드 - 내 컴퓨터에서 일하는 AI 집사",강민혁 (지은이),한빛미디어,https://image.aladin.co.kr/product/38730/80/cover200/k502136949_2.jpg,19800,인공지능
7,"클로드 코드를 활용한 바이브 코딩 완벽 입문 - 기본 사용법부터 MCP, 병렬 처리, 서브에이전트, 보안 설계와 응용 활용법까지","히라카와 토모히데 (지은이), 최용 (옮긴이)",위키북스,https://image.aladin.co.kr/product/38731/88/cover200/k352136941_1.jpg,23400,인공지능
8,"요즘 바이브 코딩 안티그래비티 완벽 가이드 - 구글 AI, 제미나이, 스티치, 프롬프트 엔지니어링, 인공지능 에이전트, RAG, 프론트엔드, PRD, TDD, 클린 아키텍처, 리팩터링, 챗봇, 블로그, 랜딩 페이지 더 빠르고 더 견고한 프로그램을 만드는 원리와 방법",최지호 (지은이),골든래빗(주),https://image.aladin.co.kr/product/38434/74/cover200/k112135794_2.jpg,25200,인공지능
9,AI 최전선 - AGI 미래를 읽는 사람들,"애덤 브로트먼, 앤디 색 (지은이), 윤종은 (옮긴이)",윌북,https://image.aladin.co.kr/product/38830/1/cover200/k772137288_1.jpg,16020,세계 경제사/경제전망
10,"데이터를 엮는 사람들, 데이터 과학자 - 데이터 분석 업계에 대한 진솔한 이야기",권정민 (지은이),비제이퍼블릭,https://image.aladin.co.kr/product/30791/6/cover200/k162831460_1.jpg,14850,컴퓨터공학/전산학 개론
11,AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법 - 한 권으로 끝내는 AI 터미널 도구 3대장 바이브 코딩,데이브 리 (지은이),길벗,https://image.aladin.co.kr/product/38474/87/cover200/k142135016_1.jpg,28800,인공지능
12,"AI 에이전트 엔지니어링 - 단일 에이전트부터 멀티 에이전트 시스템까지, AI 앱 개발 올인원 가이드","마이클 알바다 (지은이), 강민혁 (옮긴이)",한빛미디어,https://image.aladin.co.kr/product/38402/55/cover200/k122135182_1.jpg,28800,인공지능
13,변화를 기회로 만드는 AI력 - 생각을 키워 성과를 이끄는 인공지능 실전 활용법,정규진 (지은이),민음인,https://image.aladin.co.kr/product/38751/29/cover200/k372136042_1.jpg,20700,경영전략/혁신
14,"진짜 쓰는 실무 엑셀 - 유튜브 대표 엑셀 채널, 오빠두가 알려 주는 엑셀 함수, 보고서 작성, 데이터 분석 노하우!",오빠두(전진권) (지은이),제이펍,https://image.aladin.co.kr/product/28819/83/cover200/s292938843_1.jpg,18900,엑셀
15,"Do it! 점프 투 파이썬 - 중학생도 첫날부터 실습하는 초고속 입문서, 전면 개정 2판",박응용 (지은이),이지스퍼블리싱,https://image.aladin.co.kr/product/31794/10/cover200/k362833219_1.jpg,19800,파이썬
16,AI 시대 엄마가 먼저 알아야 할 최상위 공부법 - 2032~2033 AI가 채점하는 서·논술형 입시가 온다,"오주연, 김현아, 김지예 (지은이)",한빛비즈,https://image.aladin.co.kr/product/38875/1/cover200/k892137104_1.jpg,19800,학교/학습법
17,마침내 특이점이 시작된다 - 인류가 AI와 결합하는 순간,"레이 커즈와일 (지은이), 이충호 (옮긴이), 장대익 (감수)",비즈니스북스,https://image.aladin.co.kr/product/36542/2/cover200/k172039049_2.jpg,27000,기초과학/교양과학
18,프롬프트 텔링 - 격차를 만드는 AI 소통 능력,로사장(김다솔) (지은이),필름(Feelm),https://image.aladin.co.kr/product/37506/52/cover200/k432032828_1.jpg,17550,성공학
19,"누구나 아는 나만 모르는 제미나이 - 세상에서 가장 쉬운 제미나이 & AI 입문서 | Gemini, 구글 워크스페이스, Gems, 노트북LM, 나노바나나 프로, 구글 AI 스튜디오, Veo 3.1, 믹스보드 무료 동영상 강의 11개 제공, 제미나이 최신 버전 반영",이성원(누나IT) (지은이),한빛미디어,https://image.aladin.co.kr/product/38325/96/cover200/k772034340_1.jpg,17100,인공지능
20,"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT?제미나이 - 수업준비, 학급경영, 행정업무, 상담, 연수준비, 개인업무, 교사협업, 바이브코딩 어떻게 활용했고, 어떻게 활용할 수 있는지!","안익재, 황의태 (지은이)",앤써북,https://image.aladin.co.kr/product/38158/9/cover200/k112034406_1.jpg,17820,교육 일반
21,된다! 하루 만에 끝내는 제미나이 활용법,권서림 (지은이),이지스퍼블리싱,https://image.aladin.co.kr/product/37620/57/cover200/k282032940_2.jpg,18000,인공지능
22,"미니멀리즘 프로그래머 - AI 시대, 복잡함을 줄이고 가치를 올리는 개발 원칙","데이비드 토머스 (지은이), 이민석 (옮긴이)",한빛미디어,https://image.aladin.co.kr/product/38535/91/cover200/k092135330_2.jpg,18000,소프트웨어 공학
23,AI 워커스: 리디자인,김아람 (지은이),스마트북스,https://image.aladin.co.kr/product/38715/40/cover200/k682136634_1.jpg,22500,경영전략/혁신
24,AI의 선택을 부르는 AEO·GEO 생존전략 - 브랜드의 미래는 인간이 아니라 AI가 결정한다,이재홍 (지은이),미래의창,https://image.aladin.co.kr/product/38718/23/cover200/k162136741_2.jpg,17100,인공지능/빅데이터
25,AI 2026 - 트렌드 & 활용백과,김덕진 (지은이),스마트북스,https://image.aladin.co.kr/product/37323/95/cover200/k452031950_2.jpg,22500,경영전략/혁신
26,"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오 - 음악 장르별 특징 파악부터 가사, 광고, 영화, 대중음악 생성을 위한 프롬프트 실습까지!","현병욱(오땡큐), 신수진 (지은이)",시프트,https://image.aladin.co.kr/product/37092/10/cover200/k052030153_1.jpg,18000,인공지능
27,3줄의 글로 수익을 만드는 스레드 운영법 - 스레드 브랜딩·마케팅·수익화 실전 전략,이동영 (지은이),한빛미디어,https://image.aladin.co.kr/product/37445/74/cover200/k802032505_1.jpg,18000,SNS
28,"AI 시대의 삶과 신앙 - AI의 도전, 교회는 어디로 가야 하는가?",김도현 (지은이),생활성서사,https://image.aladin.co.kr/product/38603/25/cover200/8984817120_1.jpg,13500,가톨릭 신학
29,"누구나 아는 나만 모르는 챗GPT (개정판) - 세상에서 가장 쉬운 챗GPT & AI 입문서 | ChatGPT, 챗GPT-이미지, 제미나이, 나노바나나 프로, 노트북LM, Sora 2, Suno, 감마, 냅킨 | 챗GPT 최신 버전 반영, 무료 동영상 강의 19개 제공",이성원(누나IT) (지은이),한빛미디어,https://image.aladin.co.kr/product/38594/42/cover200/k772136272_1.jpg,17100,인공지능
30,피지컬 AI 메가 트렌드 - 행동하는 인공지능이 만들어낼 70경 원 시장과 미래 생존 전략,"최홍섭, 원미르 (지은이)",위즈덤하우스,https://image.aladin.co.kr/product/38496/20/cover200/k842135312_1.jpg,20700,인공지능/빅데이터
31,대체불가 나노 바나나 완전정복 - 300가지 무한 활용법 : 나노 바나나와 함께 하는 제미나이/구글 AI 스튜디오/이미지 FX/플로우/베오로 잠자던 디자인 본능 깨우기,이용태 (지은이),책바세,https://image.aladin.co.kr/product/38541/49/cover200/k592135439_1.jpg,24300,인공지능
32,사서교사가 만든 독서 교육을 위한 찐 실전 ChatGPT (생성형 AI (에듀테크) 사서 학교도서관 활용하기!) - 달리 · 제미나이 · 패들렛 · 노트북LM · 수노 AI · 캔바 · 미리캔버스 미리클 · GPTs · 서프API · 구글 폼 / 스프레드시트 · 유튜브 API ·  감마 · 클로드 아티팩트,"이유진, 김은현, 주경 (지은이)",광문각출판미디어,https://image.aladin.co.kr/product/38791/33/cover200/k252137261_1.jpg,19000,교육 일반
33,캔바 AI - 매일매일 쓰는 모두의 AI,"신승희, 앤미디어 (지은이)",생능북스,https://image.aladin.co.kr/product/38695/73/cover200/k012136725_1.jpg,21600,인공지능
34,달리는 사람에서 게임하는 사람으로 - 스포츠와 게임으로 보는 놀이 인문학,현상필 (지은이),스테이블,https://image.aladin.co.kr/product/34259/76/cover200/k722932962_1.jpg,15120,청소년 인문/사회
35,"혼자 공부하는 파이썬 - 1:1 과외하듯 배우는 프로그래밍 자습서, 개정판",윤인성 (지은이),한빛미디어,https://image.aladin.co.kr/product/29499/67/cover200/k412837047_1.jpg,19800,파이썬
36,"된다! 하루 만에 끝내는 챗GPT 활용법 - 인공지능에게 일 시키고 시간 버는 법, 전면 개정 3판",프롬프트 크리에이터 (지은이),이지스퍼블리싱,https://image.aladin.co.kr/product/36470/71/cover200/k902039911_1.jpg,18000,인공지능
37,"5분 제미나이 - 기획서는 더 빠르게, 앱 개발은 더 쉽게, 콘텐츠는 더 완벽하게 | 멀티모달, 나노바나나, 캔버스, 딥 리서치,Veo,Gems,Google Docs, NotebookLM, Google AI 검색, 모바일 Gemini  | 동영상 강의, 오픈카톡 Q/A 제공",감자나라ai(오종현) (지은이),한빛미디어,https://image.aladin.co.kr/product/38694/72/cover200/k752136721_1.jpg,21600,인공지능
38,"된다! AI 상위 노출 - 챗GPT, 제미나이, 네이버에 내 콘텐츠가 1순위로 선택된다! 국내 최초 AIEO 실무서",이중대 (지은이),이지스퍼블리싱,https://image.aladin.co.kr/product/38758/41/cover200/k322137761_1.jpg,17100,인공지능
39,"제미나이로 구글·이미지·영상·자동화 진짜 잘함 - 구글 AI 생태계의 끝판왕, 제미나이 with 나노바나나 2, 비오 3.1, 노트북LM",이호정 (지은이),리코멘드,https://image.aladin.co.kr/product/38795/22/cover200/k122137361_1.jpg,16920,인공지능
40,맛있는 디자인 포토샵 & 일러스트레이터 CC 2026 - 누구나 쉽게 배우고 AI 기능까지 제대로 써먹는 그래픽 입문서,"빨간고래(박정아), 윤이사라(포완카) (지은이)",한빛미디어,https://image.aladin.co.kr/product/38513/50/cover200/k672135035_1.jpg,23400,포토샵
41,이나은 주임의 혼나지 않는 엑셀 - 이 책으로 혼나지 말고 칭찬받으세요!,"민지희 과장, 이나은 주임 (지은이)",T.W.I.G(티더블유아이지)(주),https://image.aladin.co.kr/product/38386/44/cover200/k722135467_1.jpg,17820,엑셀
42,"맛있는 디자인 프리미어 프로 & 애프터 이펙트 CC 2026 - 동영상 편집부터 모션 그래픽, AI 기능까지 제대로 써먹는 그래픽 입문서","심수진, 윤성우, 이수정 (지은이)",한빛미디어,https://image.aladin.co.kr/product/38656/18/cover200/k932136516_1.jpg,24300,프리미어/베가스
43,"된다! 제미나이, 클로드, 챗GPT AI 챗봇 만들기","이재윤, 정해준 (지은이)",이지스퍼블리싱,https://image.aladin.co.kr/product/38847/3/cover200/k202137701_1.jpg,18900,인공지능
44,"일머리를 설계하는 AI 워크플로 with n8n - 일정 관리, 메일 발송, 자기계발까지 생산성을 폭발시키는 상위 1% 직장인의 남다른 n8n 업무 자동화",이왕석 (지은이),한빛미디어,https://image.aladin.co.kr/product/38832/29/cover200/k282137286_1.jpg,25200,인공지능
45,새나곰의 똥손도 바로 시작하는 인스타툰 그리기 with 클립 스튜디오 - 인스타툰 채널을 키우고 수익화하는 실전 노하우부터 완성이 빨라지는 클립 스튜디오 활용 꿀팁까지!,새나곰(정은아) (지은이),한빛미디어,https://image.aladin.co.kr/product/38831/35/cover200/k082137283_1.jpg,20700,그래픽 일반
